,event_date,event_id,event_name,section_name,row_name,ticket_type,add_datetime,sale_price,acct_id,channel,sale_type,seat_num
6854,6/7/2021,64626,20PNR2VB,222,3,Full Strip,18:41.8,200,28420018,Internal,Archtics,6
6855,6/5/2021,64625,20PNR2VA,223,11,Full Strip,18:04.6,200,18571026,Internal,Archtics,14
6856,6/7/2021,64626,20PNR2VB,223,11,Full Strip,18:04.6,200,18571026,Internal,Archtics,14
6857,6/5/2021,64625,20PNR2VA,223,11,Full Strip,18:04.6,200,18571026,Internal,Archtics,15
6858,6/7/2021,64626,20PNR2VB,223,11,Full Strip,18:04.6,200,18571026,Internal,Archtics,15
6859,6/5/2021,64625,20PNR2VA,121,4,Full Strip,19:33.0,295,28148494,Internal,Archtics,13
6860,6/7/2021,64626,20PNR2VB,121,4,Full Strip,19:33.0,295,28148494,Internal,Archtics,13
6861,6/5/2021,64625,20PNR2VA,10,8,Full Strip,23:35.3,500,385070,Internal,Archtics,4
6862,6/7/2021,64626,20PNR2VB,10,8,Full Strip,23:35.3,500,385070,Internal,Archtics,4
6863,6/5/2021,64625,20PNR2VA,223,10,Full Strip,20:18.9,200,29350447,Internal,Archtics,10
6864,6/7/2021,64626,20PNR2VB,223,10,Full Strip,20:18.9,200,29350447,Internal,Archtics,10
6865,6/7/2021,64626,20PNR2VB,7,11,Full Strip,10:44.7,600,10774893,Internal,Archtics,14
6866,6/5/2021,64625,20PNR2VA,7,11,Full Strip,10:44.7,600,10774893,Internal,Archtics,14
6867,6/5/2021,64625,20PNR2VA,24,18,Full Strip,10:28.7,500,31473835,Internal,Archtics,3
6868,6/7/2021,64626,20PNR2VB,24,18,Full Strip,10:28.7,500,31473835,Internal,Archtics,3
6869,6/5/2021,64625,20PNR2VA,223,11,Full Strip,08:05.5,200,17098111,Internal,Archtics,2
6870,6/7/2021,64626,20PNR2VB,223,11,Full Strip,08:05.5,200,17098111,Internal,Archtics,1
6871,6/5/2021,64625,20PNR2VA,28,16,Full Strip,30:08.3,325,5711705,Internal,Archtics,12
6872,6/5/2021,64625,20PNR2VA,223,15,Full Strip,28:40.1,175,29434290,Internal,Archtics,23
6873,6/7/2021,64626,20PNR2VB,223,15,Full Strip,28:40.1,175,29434290,Internal,Archtics,23
6874,6/7/2021,64626,20PNR2VB,13,15,Full Strip,34:42.5,325,5710608,Internal,Archtics,6
6875,6/5/2021,64625,20PNR2VA,24,18,Full Strip,33:12.2,500,24867879,Internal,Archtics,14
6876,6/7/2021,64626,20PNR2VB,24,18,Full Strip,33:12.2,500,24867879,Internal,Archtics,14
6877,6/7/2021,64626,20PNR2VB,223,7,Full Strip,28:50.6,220,18817478,Internal,Archtics,20
6878,6/5/2021,64625,20PNR2VA,223,6,Full Strip,30:44.2,220,26716231,Internal,Archtics,8
6879,6/7/2021,64626,20PNR2VB,223,6,Full Strip,30:44.2,220,26716231,Internal,Archtics,8
6880,6/5/2021,64625,20PNR2VA,24,14,Full Strip,50:42.6,625,31731293,Internal,Archtics,5
6881,6/7/2021,64626,20PNR2VB,24,14,Full Strip,50:42.6,625,31731293,Internal,Archtics,5
6882,6/5/2021,64625,20PNR2VA,6,11,Full Strip,49:24.2,445,5762884,Internal,Archtics,8
6883,6/7/2021,64626,20PNR2VB,6,11,Full Strip,49:24.2,445,5762884,Internal,Archtics,8
6884,6/7/2021,64626,20PNR2VB,122,3,Full Strip,53:48.8,360,20645532,Internal,Archtics,4
6885,6/5/2021,64625,20PNR2VA,122,3,Full Strip,53:48.8,360,20645532,Internal,Archtics,3
6886,6/7/2021,64626,20PNR2VB,122,3,Full Strip,53:48.8,360,20645532,Internal,Archtics,3
6887,6/5/2021,64625,20PNR2VA,122,3,Full Strip,53:48.8,360,20645532,Internal,Archtics,4
6888,6/5/2021,64625,20PNR2VA,222,4,Full Strip,49:58.7,200,26549105,Internal,Archtics,2
6889,6/7/2021,64626,20PNR2VB,222,4,Full Strip,49:58.7,200,26549105,Internal,Archtics,2
6890,6/5/2021,64625,20PNR2VA,13,16,Full Strip,59:04.5,325,24655852,Internal,Archtics,3
6891,6/7/2021,64626,20PNR2VB,13,16,Full Strip,59:04.5,325,24655852,Internal,Archtics,3
