event_date	event_name	event_name_long	price_code	old_value	new_value	price_delta	upd_datetime	price_change_seq
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	G	870.00	585.00	-285.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	G	585.00	515.00	-70.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	F	955.00	635.00	-320.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	F	635.00	560.00	-75.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	E	1005.00	660.00	-345.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	E	660.00	585.00	-75.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	D	1200.00	790.00	-410.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	D	790.00	690.00	-100.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	C	1255.00	825.00	-430.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	C	825.00	725.00	-100.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	B	1370.00	890.00	-480.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	B	890.00	780.00	-110.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	A	1510.00	980.00	-530.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	A	980.00	865.00	-115.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	9	1595.00	1030.00	-565.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	9	1030.00	910.00	-120.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	8	1655.00	1070.00	-585.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	8	1070.00	945.00	-125.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	7	2365.00	5000.00	2635.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	7	5000.00	1280.00	-3720.000000	2021-06-01 18:52:19.210	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	7	1280.00	1260.00	-20.000000	2021-06-06 12:52:14.127	3
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	6	2425.00	5000.00	2575.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	6	5000.00	1640.00	-3360.000000	2021-06-01 18:52:19.210	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	6	1640.00	1620.00	-20.000000	2021-06-06 12:52:14.127	3
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	5	3240.00	5000.00	1760.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	5	5000.00	1950.00	-3050.000000	2021-06-01 18:52:19.210	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	5	1950.00	1960.00	10.000000	2021-06-06 12:52:14.127	3
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	4	6400.00	8000.00	1600.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	4	8000.00	9000.00	1000.000000	2021-06-01 18:52:19.210	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	3	8800.00	8000.00	-800.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	3	8000.00	9000.00	1000.000000	2021-06-01 18:52:19.210	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	2	8800.00	8000.00	-800.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	2	8000.00	9000.00	1000.000000	2021-06-01 18:52:19.210	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	1	8800.00	8000.00	-800.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	1	8000.00	9000.00	1000.000000	2021-06-01 18:52:19.210	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	Z	1030.00	590.00	-440.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	Z	590.00	560.00	-30.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	Y	265.00	185.00	-80.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	Y	185.00	119.00	-66.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	X	275.00	195.00	-80.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	X	195.00	125.00	-70.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	W	305.00	215.00	-90.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	W	215.00	180.00	-35.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	V	330.00	230.00	-100.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	V	230.00	196.00	-34.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	U	365.00	265.00	-100.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	U	265.00	225.00	-40.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	T	410.00	290.00	-120.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	T	290.00	250.00	-40.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	S	495.00	340.00	-155.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	S	340.00	295.00	-45.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	R	495.00	340.00	-155.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	R	340.00	295.00	-45.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	Q	560.00	390.00	-170.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	Q	390.00	335.00	-55.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	P	695.00	475.00	-220.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	P	475.00	410.00	-65.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	O	795.00	545.00	-250.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	O	545.00	475.00	-70.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	N	880.00	610.00	-270.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	N	610.00	535.00	-75.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	M	535.00	370.00	-165.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	M	370.00	315.00	-55.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	L	610.00	420.00	-190.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	L	420.00	360.00	-60.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	K	620.00	430.00	-190.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	K	430.00	370.00	-60.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	J	665.00	460.00	-205.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	J	460.00	395.00	-65.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	I	725.00	485.00	-240.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	I	485.00	420.00	-65.000000	2021-06-06 12:52:10.942	2
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	H	805.00	535.00	-270.000000	2021-05-31 19:52:15.981	1
2021-06-15	20PNR2VC	2021 NBA Playoffs - Round 2 - Home Game C	H	535.00	465.00	-70.000000	2021-06-06 12:52:10.942	2
